date,AAL,AAPL,AMGN,AMZN,FB,GOOGL
2009-01-02,21.800090264233,11.662639841788,51.611908974196,54.36,,161.1574776949722
2009-01-05,21.64418973791,12.15484822299,52.189360405336,54.06,,164.5328972919072
2009-01-06,23.540979474845,11.954366480255,51.043206807164,57.36,,167.54720216227562
2009-01-07,23.592946316953,11.696053465577,50.920717109649,56.2,,161.5035459745985
2009-01-08,24.866133948595,11.913242020207,51.848139105117,57.16,,163.09846935026766
2009-01-09,23.385078948522,11.640792472387,50.553248017105,55.51,,158.02280124908157
2009-01-12,22.189841580042,11.394045712098,49.923301001316,51.92,,156.8291164584864
2009-01-13,21.488289211586,11.27195747133,50.492003168348,51.45,,157.64664007557468
2009-01-14,19.201748158842,10.966094299722,49.065873118713,48.49,,150.9509711871523
2009-01-15,19.617482895704,10.715492121303,50.010793642398,51.44,,149.95790568909416
2009-01-16,22.163858158988,10.58055248677,50.325767150292,51.59,,150.29895848640706
2009-01-20,19.825350264136,10.049789924273,48.120952595029,48.44,,141.81276241209196
2009-01-21,19.59149947465,10.644809455596,48.584663592763,50.54,,152.00923795528496
2009-01-22,19.877317106243,11.355491530803,48.322185669517,49.94,,153.72453290647633
2009-01-23,20.31903526416,11.355491530803,46.537335791447,50.63,,162.85271071690983
2009-01-26,20.007234211513,11.519989370996,47.604746012646,49.63,,162.43642568489557
2009-01-27,17.434875527176,11.660069563035,46.449843150365,48.44,,166.25320772541198
2009-01-28,18.967897369357,12.106012926682,47.902220992324,50.36,,174.87482182218957
2009-01-29,16.811273421882,11.951796201502,47.963465841082,50.0,,172.19153878450717
2009-01-30,14.732599737569,11.582961200445,47.989713633406,58.82,,169.7891227563766
2009-02-02,14.862516842838,11.760310434402,48.435926102924,61.15,,170.81228114831532
2009-02-03,14.992433948108,11.949225922749,49.573330436988,63.59,,170.75209536055422
2009-02-04,14.21293131649,12.022478867209,49.669572342178,61.06,,172.0310433504776
2009-02-05,13.563345790143,12.396454425773,49.967047321857,63.18,,177.4076403904692
2009-02-06,14.21293131649,12.815409862513,50.77197961981,66.55,,186.21482733284347
2009-02-09,14.057030790167,13.173963748558,51.393177371491,66.71,,189.9714235855988
2009-02-10,13.14761105328,12.572518520354,50.229525245102,63.31,,179.81005641859977
2009-02-11,11.900406842692,12.442719443327,50.754481091593,64.354,,179.5743287498688
2009-02-12,12.290158158501,12.757578590571,51.104451655921,63.96,,182.08708538889474
2009-02-13,12.342125000609,12.743442057429,50.658239186403,63.26,,179.39377138658548
2009-02-17,11.48467210583,12.148422526107,49.354598834284,61.67,,171.86051695182115
2009-02-18,9.8217331583791,12.127860296083,50.212026716886,62.35,,177.1016959693503
2009-02-19,9.3540315794087,11.648503308646,49.940799529532,61.95,,171.85048598719428
2009-02-20,8.1068273688209,11.720471113731,49.599578229313,63.86,,173.7613847486092
2009-02-23,9.2241144741391,11.174286878716,49.109619439254,61.71,,165.54100923690564
2009-02-24,9.5099321057322,11.598382872963,49.695820134503,65.6,,173.2598365172667
2009-02-25,8.5745289477913,11.715330556225,49.485837795906,63.71,,171.34893775585178
2009-02-26,8.4446118425217,11.462158099053,44.822480026243,62.34,,169.11203264406424
2009-02-27,7.4052750003652,11.477579771571,42.81014928136,64.79,,169.51828671145168
2009-03-02,6.4179050003165,11.30151567699,41.89147655,61.99,,164.0865193660124
2009-03-03,5.9761868424,11.35677667018,41.742739060161,61.7,,163.243918337357
2009-03-04,6.1580707897774,11.716615695601,42.512674301681,64.81,,159.9537619397502
2009-03-05,5.1187339476209,11.417178220875,41.296526590643,64.77,,153.29320142752178
2009-03-06,5.6124189476452,10.962238881592,40.579086933772,61.69,,154.7627377453553
2009-03-09,5.2226676318365,10.680793358138,40.482845028582,60.49,,145.89536501521988
2009-03-10,6.2100376318852,11.389869009125,42.293942698977,65.71,,154.5621184528183
2009-03-11,6.7297060529635,11.910671741454,41.357771439401,68.54,,159.44719822609426
2009-03-12,7.2753578950957,12.382317892631,43.982550671857,69.58,,162.2658992862391
2009-03-13,8.1587942109287,12.328342038818,44.839978554459,68.63,,162.71227721213396
2009-03-16,7.2753578950957,12.262799930616,44.428763141374,66.98,,160.3399540778839
2009-03-17,7.8729765793357,12.807699026254,45.277441759868,71.35,,168.18918389839402
2009-03-18,8.36666157936,13.046734950284,44.192533010453,71.25,,167.06571586018686
2009-03-19,6.9635568424487,13.059586344049,42.740155168494,70.1,,165.48082344914454
2009-03-20,6.1320873687235,13.05573092592,42.538922094006,69.96,,165.5911640600399
2009-03-23,7.0415071056104,13.835810527459,44.542503574781,75.58,,174.84021499422693
2009-03-24,6.7556894740174,13.729143959209,42.932638978874,72.63,,174.1977317098772
2009-03-25,6.8076563161252,13.685449220408,43.588833786988,72.4,,172.56769995801406
2009-03-26,7.2753578950957,14.119826329667,45.032462364839,73.69,,177.19197465099194
2009-03-27,6.9375734213948,13.731714237962,45.189949118786,70.52,,174.38832003778734
2009-03-30,6.3399547371548,13.428421345107,44.201282274561,71.44,,171.87556339876141
2009-03-31,6.57380552664,13.509385125826,43.326355863743,73.44,,174.56887740107064
2009-04-01,6.7556894740174,13.968179883239,42.285193434868,73.5,,177.5932132360659
2009-04-02,7.3533081582574,14.484805912594,41.375269967617,76.34,,181.81123386165635
2009-04-03,7.7170760530122,14.906331628088,40.745322951827,78.17,,185.46250498582972
2009-04-06,8.1587942109287,15.222475914708,41.856479493567,77.99,,184.6901207095623
2009-04-07,7.8989600003896,14.779102829814,41.454013344591,75.51,,179.88027317098772
